ID,Yoruba,English
ID_ACaRPExL,Ọ̀gá ọlọ́ọ̀pá gbóṣùbà ràbàndẹ̀ fún olùtónisónà rẹ̀ fún iṣẹ́ ribiribi ó sì tẹ̀síwájú pé ohun náà lófa ti àṣeyọrí àwọn ọlọ́ọ̀pá olùgbanisílẹ̀ tí wọn rí àwọn ọ̀daràn mú pẹ̀lú àwọn oun ìjà tí wọn rígbà.,"The Police boss commended his mentor for a good job, and maintained that the mind boggling arrests and arms recoveries were a testament to the efficiency of the rescue team."
ID_ACaztIeD,Ẹ̀yin gan ni ọ̀daràn,In fact you are the criminal
ID_ACsRCYIg,Mo rò wí pé mo wà láàrín-gbùgbun àgbáyé ni.,I literally thought I was in the center of the universe.
ID_ADKVAumy,Ṣùgbọ́n mi ò mọ nǹkan tí ẹ̀ ń sọ,But I don't know what you guys are talking about
ID_ADUlptKz,"Omíyalé náà mú kí àwọn odò tó wà lágbègbè náà kún kọjá ààlà, àwọn ibi tó ń gba omi dúró ya lulẹ̀, ó ba ọ̀pọ̀lọpọ̀ ilé jẹ́, ó sì pa ó kéré tán èèyàn mẹ́rin.","As rivers in the area rose to historic levels, water breached dams and levees, damaging hundreds of homes and killing at least four people."
ID_ADWbtnfg,"Bí iṣẹ́ kò pẹ́ ẹni, a kì í pẹ́ iṣẹ́.","If a task does not delay one, one does not drag it out."
ID_ADaIBCnH,"Ẹ̀dà Bíbélì ìpilẹ̀ṣẹ̀ Christian III ti ọdún 1550 Erik Jørgensen tó wà ní ẹ̀ka ọ́fíìsì orílẹ̀-èdè Scandinavia sọ pé: “Ibi tuntun tí wọ́n ń kó onírúurú Bíbélì sí yìí ti jẹ́ ka rí i pé láti ọ̀pọ̀ ọdún sẹ́yìn làwọn ará Scandinavia ti ní ìfẹ́ tó jinlẹ̀ fún Ọrọ̀ Ọlọ́run àti orúkọ rẹ̀ tí kò lẹ́gbẹ́, ìyẹn Jèhófà.”","An original copy of the 1550 Christian III Bible Erik Jørgensen from the Scandinavia branch office comments: “This new Bible museum demonstrates the deep respect that has existed for centuries in Scandinavia for both God’s Word and his majestic name, Jehovah.”"
ID_ADiGUwbB,Wíwòó tó ìran.,Watching is enough for a spectacle.
ID_ADwCeiLA,Pẹlu ọkàn ìfẹ́ yìí ni a fi yan ewé P láàyò ní yàrá ìwádìí wa,It is with this interest that in our laboratory we chose a plant P
ID_AEvUFhnD,"Ilé ẹjọ́ sọ pé ọmọ ọlọ́dún méjìdínlógún (18) tó ń jẹ́ Emil yìí jẹ̀bi torí pé ó lóun ò wọṣẹ́ ológun, àmọ́ wọn ò rán an lọ sẹ́wọ̀n.","The court found 18-year-old Emil guilty of evading military service, but did not impose a prison sentence."
ID_AExKTEAZ,Owó ò bá olè gbé.,Money does not live with a thief.
ID_AFNtcOEN,Àwọn tó ń wá sípàdé ìjọ ti pọ̀ sí i.,Our congregation meeting attendance has increased.
ID_AFSoQKRX,“Jẹ́ kí n fìdí hẹ́ ẹ” ẹ́ gbàjòkó; àfòmọ́ di onílé.,“Permit me to perch by you” takes the whole seat; the parasite becomes the host.
ID_AFZjprzP,Obì kékeré kọjá òkúta ńlá.,A small kolanut is superior to a large stone.
ID_AGBuaeYM,"Bó tiẹ̀ jẹ́ pé wọn ò kọ́kọ́ jẹ́ kó gbàtọ́jú, nígbà tí ìlera ẹ̀ di pé ó ń burú sí i, àwọn aláṣẹ gbà kí wọ́n tọ́jú rẹ̀.","Although he was initially denied medical care, authorities permitted him to have treatment when his health situation became urgent."
ID_AGOBRXID,"Ṣètò yàrá ìkẹ́kọ̀ọ́ kan, k'ó o sì gba àwọn akẹ́kọ̀ọ́ wọlé",Create a class and enroll learners
ID_AGbTasLW,Àyẹ̀wò tí wọ́n ṣe gbẹ̀yìn fi hàn pé ọgọ́rùn-ún mẹ́ta àti mọ́kànléláàádọ́ta (351) ilé àwọn ará wa pẹ̀lú Gbọ̀ngàn Ìjọba mọ́kànlélógún (21) ni ìjì náà bà jẹ́.,Current assessments indicate that the storm damaged 351 homes of our brothers and sisters and 21 Kingdom Halls.
ID_AGdmhQkR,"Ìgbìmọ̀ Ẹ̀ka sọ pé àwọn ìgbìmọ̀ tó ń bójú tó ètò ìrànwọ́ mọ́kàndínlógójì [39] ló máa bójú tó iṣẹ́ yìí, ó máa ná wọn tó mílíọ̀nù mẹ́wàá owó dọ́là [$10 million] iṣẹ́ náà sì máa gbà tó oṣù márùn-un sí mẹ́fà.","The Branch Committee estimates that the relief work, which involves 39 disaster relief committees, will cost nearly $10 million and will span five to six months."
ID_AGrFpmTa,"Fídíò tí wọ́n ṣe lé ní ọgọ́rùn-ún mẹ́sàn-án (900), wọ́n sì gùn tó nǹkan bíi wákàtí mẹ́sàn-án, kó lè bá àlàyé tá a ti gba ohùn rẹ̀ sílẹ̀ mu.","The translation group filmed over 900 videos, about nine hours of content, to match the museum audio tracks."
ID_AHdSYYda,"Òótọ́ ni pé ọkàn mi ò balẹ̀, àmọ́ mo rántí ìmọ̀ràn tó wà nínú Bíbélì, tó sọ pé, “ẹ . . . kó gbogbo àníyàn yín lé [Jèhófà], nítorí ó bìkítà fún yín.”​—1 Pétérù 5:7.","It’s true that I was worried, but I remembered the advice from the Bible, “throw all your anxiety on him [Jehovah], because he cares for you.”—1 Peter 5:7."
ID_AHiVkCwy,Òṣónú ò bí èjìrẹ́; onínúure ní ń bí ẹdun.,An ill-natured woman will not give birth to twins; only good-natured people give birth to twins.
ID_AHmbXeWm,"Nínú ìwé àtẹ̀jáde kan tí ààrẹ fi ránsẹ́ sí gbogbo ọmọ orílẹ̀ èdè Nàíjíríà, lọ́jọ́ kínní, ọdún 2020, pé àtúnṣe ńlá ló ti dé bá iṣẹ́ àgbẹ̀ lórílẹ̀ èdè yìí lásìkò ìjọba rẹ̀.","In a special letter to the entire citizenry on Wednesday, January 1, 2020, he noted with satisfaction the agricultural transformation the nation has witnessed under his leadership."
ID_AIKbOtNy,Ọbẹ ṣìlòó ń báni ṣeré a ní kò mú; bí eré bí eré ó ń pani lọ́wọ́.,The ṣìlò knife is playing with one and one says it is not sharp; just as in play it slashes one's hand.
ID_AIfTNCkl,"MFM pegedé lápapọ̀ àmì-ayò ìfẹsẹ̀wọnsẹ̀ ọ̀hún, lẹ́yìn tí ikọ̀ ọ̀hún gbá àmì-ayò kọ̀ọ̀kan nínú ìfigagbága àkọ́kọ́ tí ó wáyé lórílẹ̀-èdè Mali, kí wọn ó tó wá gbá àmì-ayò kan sóódo ní pápá ìṣeré Agége.",MFM qualified in all the competitions after played one goal in the first competition that came up in mali before playing one goal to nothing at Agege stadium.
ID_AIfnjLCI,Ẹní bá tó ẹnií gbà là ń ké pè.,One appeals only to those capable of helping one.
ID_AJAkhuQH,Àṣá ò lè balẹ̀ kó gbéwúrẹ́.,The kite cannot swoop down and carry off a goat.
ID_AJaQfpPS,"Ó sì ránmi léti nípa èrò nǹkan tó sẹlẹ̀ nígbà tí ọ̀kan nínú wa lórí ọkọ̀-akérò bí èyí jábọ́, ó ní ìjàmbá ó sì nílò ilé ìwòsàn.","And it just reminds me of the thought of what happens when one of us on a taxi like this falls off, has an accident and needs a hospital."
ID_AKBKeLEx,"Ní 50 ọdún sí àsìkò yìí, mo lérò wí pé ẹnìkan yóò ṣe àgbékalẹ̀ Ọ̀rọ̀ sísọ TED nípa ìfimọ ìgbọ́ngbẹ ọpọlọ ẹ̀yin ènìyàn Aláwọ̀-funfun tí ẹ̀ ń fi ilé yín sílẹ̀ láti lọ ṣiṣẹ́ àti gbé ní Ilẹ̀-Adúláwọ̀.","And in 50 years, I hope someone will be giving a TED Talk on how to stop the brain drain of Westerners leaving your homes to work and live in Africa."
ID_AKYjmhWi,"Ṣaájú ìfigagbága ọlọ́rẹ̀ẹ́jọ̀rẹ́ tí ikọ̀ agbábọ́ọ̀lù Spain yóò gbá pẹ̀lú Germany lọ́jọ́ Ẹtì (Friday), Iniesta, ti gbá ìfẹsẹ̀wọnsẹ̀ mẹ́tàlélọ́gọ́fà (123) fún Spain báyìí, ṣùgbọ́n tí kò tíì bá tàwọn aṣaájú rẹ̀ tí wọ́n ti fẹ̀yìntì bí: Andoni Zubizarreta, Xavi, Sergio Ramos ati Iker Casillas.","Ahead of Friday’s friendly clash with Germany, Iniesta has played 123 times for Spain, a record bettered by only Andoni Zubizarreta, Xavi, Sergio Ramos and Iker Casillas."
ID_AKZJLPDn,"Àjọ tó ń gbógun ti ìwà ìbàjé, ẹ̀ka ti ìjọba àpapọ̀ tí jáwé adámọlẹ́kun fún àwọn ọmọ gànfé tó ń gba owó kòtọ́ lọ́wọ́ àwọn Awakọ̀ àjàgbé Àpápá",The Presidential Task-Force in Apapa road clearance has busted a cartel that extorts money from truck drives.
ID_AKiKiwTb,Kò mú ti ọwọ́ ẹ̀ wá ò gba tọwọ́ ẹni.,He-will-not-bring-what-he-has will not have what one has.
ID_AKoQIEKn,"Mo fé dúpẹ́ lọ́wọ́ àwọn òṣìṣẹ́, àwọn agbábọ́ọ̀lù, olùdarí gbogbo, àti pàápàá jùlọ àwọn olólùfẹ́ ikọ̀ yìí, fún àtìlẹyìn àti ìfẹ́ wọn tí ò lẹ́gbẹ̀ tí wọ́n fi hàn sí mi láti ìgbà tí mo ti ń tukọ̀ ikọ̀ yìí.","“I want to thank the staff, the players, the Directors and the fans who make this club so special."
ID_AKoShnfi,Àwọn Àjọ Ẹgbẹ́ Àwùjọ,Civil society
ID_AKzHpRwT,“Kiní yìí tí o fún mi ò pọ̀”: ahun ní ń jẹ́ bẹ́ẹ̀.,“This thing that you have given me is not plentiful”: that statement indicates a greedy person.
ID_ALMPIRBd,"Àwọn ìbéèrè wọ̀nyí kọ ìkáàánú, wọ́n sì gba ìṣedédé.","These questions reject pity, and they embrace justice."
ID_ALSxoUNP,--- Ìfẹsẹ̀wọ̀nṣẹ̀ ìdíje bọ́ọ̀lù àfẹsẹ̀gbá NPFL tí yóò wáyé lónìí.,--- The NPFL match will come up today
ID_ALuueYVi,Dókítà tó ṣiṣẹ́ abẹ náà parọ́ pé adájọ́ ilé ẹjọ́ ló fún òun láṣẹ láti ṣe bẹ́ẹ̀.,Her surgeon falsely claimed to have authorization from a magistrate.
ID_ALvViJLS,Kékeré la ti ń pa ẹkàn ìrókò; bó bá dàgbà ọwọ́ kì í ká a mọ́.,One kills the roots of the ìrókò tree while it is still a sapling; when it matures it is out of control.
ID_ALwFiZup,"Ní àkópọ̀, ó lé ní ẹgbẹ̀rún mọ́kànlá (11,000) àwọn arákùnrin àti arábìnrin tí wọ́n yọ̀ǹda ara wọn láti ṣiṣẹ́ níbẹ̀, ó sì ju mílíọ̀nù mẹ́rin wákàtí lọ tí wọ́n fi ṣiṣẹ́ lórí ilẹ̀ hẹ́kítà mẹ́tàlélọ́gbọ̀n náà.","Ultimately, more than 11,000 brothers and sisters have volunteered over four million hours to help restore the 34-hectare (approx. 85 a.) property."
ID_AMITnirt,Ṣùgbọ́n àwọn ìtàn méjéjì yìí ní akùdé ní àwọn ọ̀nà tí wọ́n fi ń ba ìjẹ́ ọmọ ènìyàn àwọn èyàn jẹ́ tí wọn ò bá yẹ ní ìmọ kan tàbí ní àwọn ọ̀nà kan,But both of these narratives are flawed in the ways in which they dehumanize people if they don't fit within a certain mold or succeed in a certain way.
ID_AMJAQbkA,"Ó dá mi lójú hán-ún hán-ún pé mi ò mọwọ́ mẹsẹ̀, mo sì mọ̀ pé Jèhófà máa ràn mí lọ́wọ́.",I was firmly convinced that I was innocent and that Jehovah would support me.
ID_AMMfkWqM,Arákùnrin Akopyan wà lára àwọn Ẹlẹ́rìí Jèhófà tó lé ní ọgọ́rùn-ún (100) tí wọ́n fẹ̀sùn ọ̀daràn kàn ní Rọ́ṣíà nítorí ohun tí wọ́n gbà gbọ́.,Brother Akopyan is one of over 100 other Jehovah’s Witnesses in Russia facing criminal charges for their faith.
ID_ANbJteYf,"Ẹ gbọ́ ohun tó sọ: “Nígbà tí mò ń wo àlàyé nípa àtẹ náà lédè adití lórí ẹ̀rọ tí wọ́n gbé fún mi, orí mi wú!",She commented: “Getting the device with ASL content was thrilling!
ID_ANmBYGCp,"Ẹ ǹlẹ́, ṣé ẹ̀yin ni ọ̀gbẹ́ni John","Good day, are you Mr John?"
ID_ANpupnJd,"Bí o máa ra ilá ra ilá, bí o máa gba ènì gba ènì; ọmọdé kì í wá sọ́ja Agbó-mẹ́kùn kó wá mú eku.","If you wish to buy okro, buy okro; if you wish to receive a gratuity do so; a child does not come to a tiger hunt and catch rats."
ID_AOCeVFpB,"Wọ́n tún sọ nínú ìwé náà pé àwọn Ẹlẹ́rìí Jèhófà méjìdínlógún (18) tí wọ́n mú wulẹ̀ jẹ́ díẹ̀ “lára ọ̀pọ̀ àwọn Ẹlẹ́rìí Jèhófà tó wà ní Rọ́ṣíà, tí wọ́n fi sátìmọ́lé, tí wọ́n sì fi ẹ̀sùn kàn pé wọ́n jẹ́ ọ̀daràn, torí pé wọ́n ń lo ẹ̀tọ́ tí wọ́n ní láti máa ṣe ìsìn wọn.”","The opinion notes that the 18 Witnesses are “part of a now ever-growing number of Jehovah’s Witnesses in Russia who have been arrested, detained, and charged with criminal activity on the basis of mere exercise of freedom of religion.”"
ID_AOrocEzY,Ìṣẹ̀lẹ̀ Mánigbàgbé Nínú Ìtàn Àwa Ẹlẹ́rìí Jèhófà: A Mú Ìwé Mímọ́ Kristian Lédè Griki Jáde Ní Èdè Icelandic,Theocratic Milestone: Release of the Christian Greek Scriptures in Icelandic
ID_AOteUjqt,Dídán lẹyẹlé ń dán kú.,A perpetually shining appearance is what chracterizes the pigeon even until death.
ID_APKqxoyg,"Ẹ̀we, oríṣiríṣi ikọ̀ agbábọ́ọ̀lù ni Ancelotti ti tukọ̀ rẹ̀, tí ó fimọ́ ife ẹ̀yẹ lọ́lọ́kan-ò-jọ̀kan, Ó tukọ̀ agbábọ́ọ̀lu Chelsea, Real Madrid, AC Milan, Juventus, Roma àti Paris Saint-Germain.","The Italian coach, who has also managed Chelsea, Real Madrid, AC Milan, Juventus, Roma and Paris Saint-Germain, has three Champions League titles to his name as a coach."
ID_APReDWQH,Ilé tuntun yìí máa ní àyè ibi iṣẹ́ mẹ́rìndínlógóje (136) àti ilé gbígbé méjì tó ní yàrá méjìndínlọ́gọ́rùn-ún (98).,The facility will include an office building with 136 workstations and two residential buildings with 98 rooms.
ID_AQCNwMvD,Akọ̀wé ìjoba lórí ètò ìlera Dókítà Títílayò Goncalves tò bá àwọn Akọ̀ròyìn sọ̀rọ̀ ní mẹ́ta lára wọn lókú ní ilé ìwòsàn ẹ̀kọ́ṣẹ́ ètò ìlera Lagos State University Teaching Hospital Ikeja tí àwọn méje míì sì pàdánù ẹ̀mí ní Gbàgádà General Hospital Léèkó.,"The Permanent Secretary, State Ministry of Health, Dr Titilayo Goncalves, who made this known to newsmen in Lagos,said that three of the victims died at the Lagos State University Teaching Hospital, Ikeja, while seven died at Gbagada General Hospital."
ID_AQcfHLKi,Gbogbo ènìyàn ló ní ẹ̀tọ́ sí ààbò tó dọ́gba kúrò lọ́wọ́ ìyàsọ́tọ̀ yòówù tí ìbáà lòdì sí ìkéde yìí àti ẹ̀tọ́ kúrò lọ́wọ́ gbogbo ohun tó bá lè ti ènìyàn láti ṣe irú ìyàsọ́tọ̀ bẹ́ẹ̀.,All are entitled to equal protection against any discrimination in violation of this Declaration and against any incitement to such discrimination.
ID_AQkEsogN,Ipa ìtìpa ọlọ́jọ́ gbọọrọ àwọn ilé-ìwé náà ti ń kọjá agbára bẹ́ẹ̀ ni ó sì ń lapa burúkú lórí àwọn ìdílé tí wọn kò rọ́wọ́ họrí.,The long-term impact of school closures are wide-ranging and even more devastating to families living below the poverty line.
ID_AQsgyEmf,"Ṣùgbọ́n kín tó ṣe ìtẹ̀jáde rẹ̀, mo ní láti rin irìnàjò lọ sí àríwá-ìlà-oòrun ilẹ̀ Nigeria láti bá àwọn òbí náà sọ̀rọ̀, láti fìdí ẹ̀ múlè.","But before I could publish it, I had to travel to the northeast of Nigeria to talk to the parents, to verify it."
ID_ARrofpLU,"Ìdílé Ẹlẹ́rìí Jèhófà kan fi olùkọ́ ilé ìwé Kátólíìkì kan tó jẹ́ ẹ̀yà Tutsi àtàwọn ọmọ rẹ̀ mẹ́fà pamọ́, bó tiẹ̀ jẹ́ pé olùkọ́ náà ò fi bẹ́ẹ̀ mọ ìdílé náà rí.",A Catholic Tutsi schoolteacher and her six children were hidden by a Witness family she hardly knew.
ID_ARtOPXpE,"Aliyu Sabi Abdullahi, tí ó jẹ́ igbákejì alámòjútó ètò, nílé ìgbìmọ̀ asòfin ló sojú abẹnugan ilé ìgbìmọ̀ asòfin, Lawan, tí ó jẹ́ àlejò pàtàkì níbi ayẹyẹ ọ̀hún.","The Senate President, who was the Special Guest of Honour at the event, was represented by the Deputy Chief Whip of the Senate, Senator Aliyu Sabi Abdullahi."
ID_ASRtvwtC,--- MFM FC pegedé sínú ìpele kejì ìdíje CAF Champions League.,--- MFM advance to second round at the CAF Champions League
ID_ATBRwysF,"Ó ti lo ọdún méjì látìmọ́lé kí wọ́n tó dá ẹjọ́ rẹ̀, nínú òfin orílẹ̀-èdè Rọ́ṣíà, èyí ṣe rẹ́gí pẹ̀lú ọdún mẹ́ta nínú ẹ̀wọ̀n, torí náà ọ́dún mẹ́ta ló kù tí wọ́n retí pé kó lò lẹ́wọ̀n.","Since he has served two years in pretrial detention, which under Russian law is considered the equivalent of three years in prison, there are three years remaining on his sentence."
ID_ATJPwLSa,Abala kẹfà,Article 6
ID_ATLWndtf,Ẹ̀rù bíbà ní ń múni pe àjẹ́ ní ará ire.,It is fear that makes one call witches the good people.
ID_ATQOYGmU,"À ń retí ìgbà tí Ọlọ́run máa ‘nu gbogbo omijé kúrò tí ikú ò ní sí mọ́, tí kò sì ní sí ọ̀fọ̀ tàbí ẹkún tàbí ìrora mọ́.’",We long for the time when God will “wipe out every tear .
ID_ATWuiXQk,Bóyá kí o kọ́ ọ,Maybe you should teach him
ID_ATeISJec,Ìjì Líle Tí Wọ́n Pè Ní Typhoon Bualoi Ṣọṣẹ́ Lórílẹ̀-Èdè Japan,"Typhoon Bualoi, Latest to Pummel Japan"
ID_ATnMSMiL,"Bí ó tilẹ̀ jẹ́ pé, ikọ̀ Yobe Desert ṣe gudugudu méje òhun yàhàyà mẹfà láti gba àmì-ayò kan wọlé níṣẹ̀ẹ́jú mọ́kàndínlọ́gọ́rin sáà kejì ìfẹsẹ̀wọnsẹ̀ náà, ṣùgbọ́n omi pọ̀ ju ọkà lọ, lẹ́yìn tí Abia Warrios tún gbá àmi-ayò mìíràn wọ̀lé, ẹ̀yí tí ó kásẹ̀ ìfẹsẹ̀wọnsẹ̀ náà nílẹ̀.","The Damaturu- based boys sustained the pressure until the 79th minute, when Manika Usman’s grounder beat Abia Warriors’ goalkeeper for the visitors’ lone goal."
ID_AUDsUAha,"Má bínú, ó yẹkí o fún mi ní ọ̀wọ̀ tèmi ni gbangba",You need to have some respect for your wife
ID_AUPuNVEw,Ààrẹ ni kí wó̩n má s̩e sọ àwọn ìpàgó̩ ìgbábó̩ò̩lù tàbí àyíká pápá ìṣeré Russia tí wọn yóò lò fún ìdíje bó̩ò̩lù àgbááyé di ilé ìtajà.,"Infrastructure built in Russia for the World Cup should pay off in the future and be used for the development of popular sports, the president stressed."
ID_AUXEUVDK,"A kò gbọdọ̀ dá ẹ̀bi ẹ̀ṣẹ̀ fún ẹnìkẹ́ni fún pé ó hu ìwà kan tàbí pé ó ṣe àwọn àfojúfò kàn nígbà tó jẹ́ pé lásìkò tí èyí ṣẹlẹ̀, irú ìwà bẹ́ẹ̀ tàbí irú àfojúfò bẹ́ẹ̀ kò lòdì sí òfin orílẹ̀‐èdè ẹni náà tàbí òfin àwọn orílẹ̀‐èdè àgbáyé mìíràn.","No one shall be held guilty of any penal offence on account of any act or omission which did not constitute a penal offence, under national or international law, at the time when it was committed."
ID_AUYxuuxW,Ì-dún-kídùn-ún òyo ni wọ́n fi ń sọ òyo nígi; ì-fọ̀-kúfọ̀ ògbìgbì ni wọ́n fi ń ta ògbìgbì lókò; ì-jẹ-kújẹ àdán ní ń fií tẹnu pọ̀ fẹnu ṣu.,It is the incessant chattering of the Pataguenon monkey that causes people to belabor it with sticks; it is the annoying sounds of the ògbìgbì bird that causes people to throw stones at it; it is indiscriminate feeding that causes the bat to ingest food and excrete with the same mouth.
ID_AUbdHhTP,"Ọmọdé ò mẹ̀fọ́, ó ń pè é légbògi.",A child does not recognize a vegetable and calls it medicine.
ID_AUcDqvgs,"Nígbà tó yá, àwọn Ẹlẹ́rìí Jèhófà bẹ̀rẹ̀ sí í kọ́ ìyàwó mi lẹ́kọ̀ọ́, ó sì wù mí kí n mo ohun tí wọ́n jọ máa ń sọ.","Later, when my wife started to study, I was curious about the discussions she was having with the Witnesses."
ID_AVGjJHdE,"Yàtọ̀ sáwọn yẹn, àwọn ilé tó bàjẹ́ tí wọ́n fẹ́ tún ṣe tó ẹgbẹ̀rún kan àti mọ́kàndínlógójì [1,039], Gbọ̀ngàn Ìjọba tó tó ọgọ́rùn kan ó lé mẹ́jọ [108] àti Gbọ̀ngàn Àpéjọ mẹ́ta.","Additionally, damaged structures scheduled to be repaired include 1,039 homes, 108 Kingdom Halls, and 3 Assembly Halls."
ID_AVPqzIrf,Tọ̀sán tọ̀sán ní ń pọ́n ìtalẹ̀ lójú; bílẹ̀ẹ́ bá ṣú yó di olóuńjẹ.,It is the persistence of daylight that imposes suffering on the mud-floor worm; when night falls it will find food.
ID_AVTPktmF,"Ikọ̀ Real Madrid ti yan akọ́nimọ̀ọ́gbá Spain, Julen Lopetegui gẹ́gẹ́ bí akọ́nimọ̀ọ́gbá tuntun sáà tó ń bọ̀.",European champions Real Madrid have appointed current Spain coach Julen Lopetegui as their manager from next season.
ID_AVfAutGy,"À ń gbèjà Ọ̀jà, Ọ̀já ní ta ní ń jà lẹ́yìnkùlé òun?","We fight in defence of Ọ̀jà, and Ọ̀jà asks who is fighting in his backyard."
ID_AVoUEAob,"Ẹ̀rù kì í ba igbó, bẹ́ẹ̀ni kì í ba odò; ẹ̀rù kì í ba ọlọ lójú ata.","The forest knows no fear, and neither does the river know fear; the grind-stone never shows fear in the face of pepper."
ID_AWUveXSv,"Bí ààrẹ Buhari ṣe tètè bọwọ́lu ètò ìṣúná 2019 ọ̀hún, ni yóò tún jẹ́ kí orílẹ̀ èdè Nàíjírià tún padà sí osù kínní sí osù kejìlá tí ó jẹ́ ìbẹ̀rẹ̀ ọdún, tí ààrẹ orílẹ̀ èdè Nàíjírià máa ń bọwọ́lu ètò ìsúná ọ̀hún.",The passage of the budget and its signing within 2019 has returned Nigeria to the January to December Budget Cycle.
ID_AWoDZDRO,(Orin) lọ́,(Music going)
ID_AXFiJmcm,"Lẹ́yìn ọ̀pọ̀ ìsapá, àwọn ará gbé ìjọba orílẹ̀-èdè Sweden lọ sílé ẹjọ́ nígbà mẹ́ta ọ̀tọ̀ọ̀tọ̀.","Having no other recourse, our brothers brought the Swedish government to court three separate times."
ID_AXKhwgHM,À-gbẹ́rù-àì-wẹ̀yìn lọ̀pálábá fi gbàgbé ìyá ẹ̀ sílẹ̀.,Picking-up-one's-load-without-checking-one's-rear caused the piece of broken bottle to forget its mother on the ground.
ID_AXKiYUMG,Kò sí àpèjúwe,No description
ID_AXVlCuGO,Ojú la fi ḿmọ àísí epo; ẹnu la fi ń mọ àìsíyọ̀; ọbẹ̀ tí ò bá lépo nínú òkèèrè la ti ḿmọ̀ ọ́.,"It is with the eyes that one tells the absence of palm-oil; it is with the mouth that one determines the absence of salt; if a stew lacks oil, it is the eyes that will tell."
ID_AXYDjjeB,"Aláǹtakùn, bí yóò bá ọ jà, a ta ká ọ lára.","When the spider wants to engage an enemy, it spins its web around it."
